gen,cand,parent,mutation,params,macs,peak_act,acc,fitness,deployable,train_s,genome
0,0,,seed,48354,1920768,12288,0.4655,0.2461418536416438,1,145.64785474998644,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""shift"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
1,0,best,stride block3 2->1,48354,3320064,12288,0.4895,0.2653884227655807,1,143.534652250004,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""shift"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
1,1,best,stride block3 1->2,48354,1920768,12288,0.4655,0.2461418536416438,1,148.9558021670091,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""shift"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
1,2,best,width block2 96->64,40738,2840832,12288,0.4705,0.24923109489621725,1,126.92404295899905,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""shift"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 64, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
1,3,best,act leak 2^-4->2^-3,48354,3320064,12288,0.479,0.25488842276558077,1,152.88360720899072,"{""stem_width"": 24, ""act_shift"": 3, ""blocks"": [{""kind"": ""shift"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
2,0,best,act leak 2^-4->2^-5,48354,3320064,12288,0.4815,0.2573884227655807,1,137.21552829100983,"{""stem_width"": 24, ""act_shift"": 5, ""blocks"": [{""kind"": ""shift"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
2,1,best,kernel block1 5->7,48546,3350784,12288,0.4845,0.2602740023085094,1,139.25226620800095,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""shift"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 7}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
2,2,best,kernel block1 5->7,48546,3350784,12288,0.4845,0.2602740023085094,1,137.11918466701172,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""shift"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 7}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
2,3,best,insert block after 4,64994,4368640,12288,0.0,-inf,0,0.0,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""shift"", ""out"": 48, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 5}]}"
3,0,best,width block0 48->160,63362,4875520,40960,0.0,-inf,0,0.0,"{""stem_width"": 24, ""act_shift"": 4, ""blocks"": [{""kind"": ""shift"", ""out"": 160, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 96, ""stride"": 2, ""k"": 5}, {""kind"": ""shift"", ""out"": 96, ""stride"": 1, ""k"": 3}, {""kind"": ""asym"", ""out"": 128, ""stride"": 1, ""k"": 5}, {""kind"": ""shift"", ""out"": 128, ""stride"": 1, ""k"": 3}]}"
